clim.mean,clim.var,pop.var,lt.pop.lam,clim.sd,asp.mag,rep,AtoB,BtoA
0,0,0,1.0008438967050395,0,0,1,0,0
0,0,1.596054357881923e-14,0.9994315110963187,0,1,1,0,0
0,0,2.918174953804013e-13,0.9999726176005209,0,2,1,0,0
0,0,1.825275379839741e-12,1.0013146379552085,0,3,1,0,0
0,0,8.26010254498449e-12,0.999812652968774,0,4,1,0,0
0,0,2.989902299838603e-11,1.0005815882923952,0,5,1,0,0
0,0,1.002305753165978e-10,1.0002245947479937,0,6,1,0,0
0,0,3.1480458440233114e-10,0.9995542460531022,0,7,1,0,0
0,0,9.082594967454749e-10,0.9999701672473789,0,8,1,0,0
0,0,2.4210762830780156e-9,0.9991416284218848,0,9,1,0,0
0,0,5.517914342549778e-9,1.0004597461196316,0,10,1,0,0
0,0,1.0519916557303894e-8,1.000394368448562,0,11,1,0,0
0,0,1.5547675104429415e-8,0.9999394357780195,0,12,1,0,0
0,0,2.352211038007685e-8,0.935177934940269,0,13,1,0,0
0,0,2.4929063333372218e-8,0.8636338537205206,0,14,1,0,0
0,0,1.8233342486337296e-8,0.7937173057582722,0,15,1,0,0
0,0,9.10952214489992e-9,0.7313966532167694,0,16,1,0,0
0,0,3.5421316031448887e-9,0.6715744596471198,0,17,1,0,0
0,0,9.30545074422799e-10,0.6327623009789298,0,18,1,0,0
0,0,1.9735817682280099e-10,0.6079594069523823,0,19,1,0,0
0,0,4.8938829424911866e-11,0.587331665317763,0,20,1,0,0
0,0,1.4776240365758064e-11,0.5765091463389126,0,21,1,0,0
0,0,6.289858628423462e-12,0.5713709367240044,0,22,1,0,0
0,0,3.1195749597231363e-12,0.5643885127320712,0,23,1,0,0
0,0,1.851895942410175e-12,0.5651773727108452,0,24,1,0,0
0,0,9.707709342933247e-13,0.5644618743869626,0,25,1,0,0
0.004044937687905911,1.0678205968255055,1.4584269842505307e-6,0.9993368373481867,1,0,1,0,0
-0.040657915568802876,0.9479477173342061,1.0890270971557512e-6,0.998083069514016,1,1,1,0,0
0.028064664963911017,0.9816812439776527,1.8238610755535745e-6,0.9984920797667047,1,2,1,0,0
0.08600986390439705,0.8879053067988472,3.896702362196934e-6,1.0001265465423772,1,3,1,0,0
