asp.mag,asp.effects,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
0,"-1,-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-1.1,-1,1,1.1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-1.1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-1.2,-1.1,-1,1",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
0,"-1.5,-1,1,1.5",0,1.4690016331329865,1.4690016331329865,20.86162567138672,1
1,"-1,-1,1",0,1.463883438153163,1.463883438153163,20.86162567138672,1
1,"-1,1",0,1.4638941378832857,1.4638941378832857,20.86162567138672,1
1,"-1.1,-1,1,1.1",0,1.4633921685435751,1.4633921685435751,21.6066837310791,1
1,"-1.1,1",0,1.463394895543527,1.463394895543527,21.6066837310791,1
1,"-1.2,-1.1,-1,1",0,1.46314803292718,1.46314803292718,21.6066837310791,1
1,"-1.5,-1,1,1.5",0,1.4618325784129378,1.4618325784129378,21.6066837310791,1
2,"-1,-1,1",0,1.448590729583388,1.448590729583388,23.096799850463867,1
2,"-1,1",0,1.4486103454769828,1.4486103454769828,23.096799850463867,1
2,"-1.1,-1,1,1.1",0,1.44700418045269,1.44700418045269,23.096799850463867,1
2,"-1.1,1",0,1.447031095672884,1.447031095672884,23.096799850463867,1
2,"-1.2,-1.1,-1,1",0,1.4466412264916435,1.4466412264916435,23.096799850463867,1
2,"-1.5,-1,1,1.5",0,1.4465947967155453,1.4465947967155453,23.84185791015625,1
3,"-1,-1,1",0,1.423248684277985,1.423248684277985,26.82209014892578,1
3,"-1,1",0,1.4232734255899655,1.4232734255899655,26.82209014892578,1
3,"-1.1,-1,1,1.1",0,1.4209024643057238,1.4209024643057238,26.82209014892578,1
3,"-1.1,1",0,1.4209666825153024,1.4209666825153024,26.82209014892578,1
3,"-1.2,-1.1,-1,1",0,1.4209652664065011,1.4209652664065011,26.82209014892578,1
3,"-1.5,-1,1,1.5",0,1.4225270910527892,1.4225270910527892,28.312206268310547,1
4,"-1,-1,1",0,1.3880880334617482,1.3880880334617482,32.03749656677246,1
4,"-1,1",0,1.3881117719251652,1.3881117719251652,32.03749656677246,1
4,"-1.1,-1,1,1.1",0,1.3858121381067077,1.3858121381067077,32.782554626464844,1
4,"-1.1,1",0,1.385887083250419,1.385887083250419,32.782554626464844,1
4,"-1.2,-1.1,-1,1",0,1.386237451391452,1.386237451391452,33.52761268615723,1
4,"-1.5,-1,1,1.5",0,1.3879575747368589,1.3879575747368589,34.27267074584961,1
5,"-1,-1,1",0,1.3434781038817205,1.3434781038817205,41.72325134277344,1
