asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
0,0,1.2561119487386405,1.2561119487386405,20.86162567138672,1
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,1
2,0,1.2415989558082265,1.2415989558082265,23.096799850463867,1
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,1
4,0,1.198495789451586,1.198495789451586,32.03749656677246,1
5,0,1.1666509339076359,1.1666509339076359,41.72325134277344,1
6,0,1.1283659083686621,1.1283659083686621,58.11452865600586,1
7,0,1.084123875412064,1.084123875412064,86.4267349243164,1
8,0,1.034574514797511,1.034574514797511,140.07091522216797,1
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,1
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,1
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,1
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,1
13,8,0.747952910462875,0.7609728356318737,3099.4415283203125,1
14,11,0.7283288692043473,0.7425578969979933,3576.2786865234375,1
15,12,0.7052941112289526,0.7305305712202538,5388.2598876953125,1
16,12,0.6887024744144454,0.7051513291806121,7534.027099609375,1
17,16,0.6734514921233269,0.6930694673856298,10871.88720703125,1
18,16,0.6640041596660482,0.6773356630339334,11253.35693359375,1
19,16,0.6525238244184988,0.6642509809191538,17166.1376953125,1
20,18,0.6447933495691993,0.6564829328303718,21362.3046875,1
21,19,0.637668859023862,0.6485036021424216,14305.11474609375,1
22,22,0.6286358366151017,0.6399057405213199,21934.50927734375,1
23,20,0.6209569852922853,0.6399206087106362,26702.880859375,1
24,23,0.6140501935718883,0.629078348149354,21934.50927734375,1
25,25,0.6105567477858989,0.6287931458865162,36621.09375,1
26,23,0.6067025686354929,0.6213637970554277,41961.669921875,1
27,28,0.5993333225612233,0.6101491352025744,37765.5029296875,1
28,24,0.5969611495427529,0.6085204017451312,48828.125,1
29,30,0.5918971622245384,0.6022531079756548,71716.30859375,1
30,25,0.5883268500528983,0.5968745262728989,72479.248046875,1
0,0,1.2561119487386405,1.2561119487386405,20.86162567138672,2
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,2
2,0,1.2415989558082265,1.2415989558082265,23.096799850463867,2
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,2
4,0,1.198495789451586,1.198495789451586,32.03749656677246,2
5,0,1.1666509339076359,1.1666509339076359,41.72325134277344,2
6,0,1.1283659083686621,1.1283659083686621,58.11452865600586,2
7,0,1.084123875412064,1.084123875412064,86.4267349243164,2
8,0,1.034574514797511,1.034574514797511,140.07091522216797,2
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,2
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,2
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,2
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,2
13,8,0.747952910462875,0.7609728356318737,3242.49267578125,2
14,11,0.7283288692043473,0.7425578969979933,4100.799560546875,2
15,12,0.7052941112289526,0.7305305712202538,5531.31103515625,2
16,12,0.6887024744144454,0.7051513291806121,8201.59912109375,2
17,16,0.6734514921233269,0.6930694673856298,9059.906005859375,2
18,16,0.6640041596660482,0.6773356630339334,8201.59912109375,2
19,16,0.6525238244184988,0.6642509809191538,14495.849609375,2
20,18,0.6447933495691993,0.6564829328303718,16021.728515625,2
21,19,0.637668859023862,0.6485036021424216,20217.8955078125,2
22,22,0.6286358366151017,0.6399057405213199,26321.4111328125,2
